s | Zwei Themen die Perot immer wieder anspricht Rezession und Bürokratie | machen | ihnen besonders zu schaffen
s | Auch die Belegschaft | bekam | den Konsolidierungskurs zu spüren
o | das Management der zur BHF-Bank gehörenden Gruppe | fordert | unwahre und rufschädigende Äußerungen künftig zu unterlassen
o | dem Kaufinteressenten | verbot | die Prüfung der angeschlossenen Firmen fortzusetzen
s | Auch IBM | lädt | Messe-Flair am eigenen Bildschirm zu erleben
s | Gates | versucht | auf dem Feld den Anschluß nicht zu verpassen und mit dem Trio Silicon Graphics Netscape und Apple mitzuhalten
s | der SPD-Politiker | habe | Wegen Unstimmigkeiten mit dem einstigen Bürgermeister Klaus Wedemeier ihn 1993 mit Erfolg aufgefordert nicht wieder für den Gremienvorsitz zu kandidieren
o | zahlreiche Bundesbürger | motiviert | nach der beruflichen Karriereleiter zu greifen
s | Andere europäische Schienenunternehmen | entschieden | das System zu übernehmen und den grenzüberschreitenden Verkehr dadurch zu vereinfachen
s | Die Kürzung der Lufthansa-Provisionen bei Inlandsflugtickets von neun auf fünf Prozent zum 1. Juli | machen | Euro Lloyd zu schaffen
s | die Aktionäre | aufgerufen | die neue Konzernstruktur abzusegnen
s | wir | gezwungen | die soziale Verelendung hinzunehmen
o | die Mitglieder des Euro-Clubs | verpflichtet | übermäßige Defizite zu vermeiden
s | die Mitgliedstaaten | verpflichten | mittelfristig einen nahezu ausgeglichenen Haushalt oder gar einen Etatüberschuß anzustreben
s | die Gemeinschaft | gelernt | auch größere Stolpersteine beiseite zu räumen
s | Der Sitz der Europäischen Zentralbank | erwägen | den letztmöglichen Zeitpunkt für die Umstellung auf den Euro zu wählen
s | Er | zeigte | die notwendige Genehmigung der europäischen Kartellbehörden rechtzeitig zu erhalten
s | Stocker | entscheidet | die Produktion nicht einzustellen sondern seine Laibe weiterhin anzubieten ergänzt durch einen Aushang Vollkornbrot 50 Becquerel alle anderen nur geringe einstellige Belastungswerte
s | eher die Nachbarn | wissen | Die schallgedämpften Lüftungsanlagen zu schätzen
o | Bauern | überzeugt | auf ökologischen Anbau nach den Kritierien des Naturland-Verbands umzustellen
o | auch den Münchnern | macht | zu schaffen
s | Sie | befürchten | von den mächtigen Konzernen wie RWE Energie Preussenelektra Bayernwerk und Co. an die Wand gedrängt wenn es künftig keine Demarkationsverträge und Ausschließlichkeitsklauseln in Konzessionsverträgen mehr gibt zu werden
s | die Verbundunternehmen | verpflichtet | allein den Stadtwerken den Strom für die Kunden in deren Versorgungsgebiet zu verkaufen
s | Sie | helfen | Differenzen unbürokratisch und schnell aus dem Weg zu räumen
s | Ich | hoffe | auch aus der Direktion des EWI ein Team machen zu können
s | Der Ausbau von Fracht-Terminals der Bahn | helfen | innerdeutsche Sendungen zu bündeln um sie dann gemeinsam weiter zu transportieren
s | Ein französisches Gericht | verlangt | vor dem Produktionsstopp in Belgien Gespräche mit dem Euro-Betriebsrat aufzunehmen
s | er | schlug | allen Russen einen fünf Jahre gültigen Steuerpaß für den es keine rechtliche Grundlage gibt auszustellen
s | die Regierung | beschlossen | Kulikow und Tschubais gemeinsam mit dieser Aufgabe zu betrauen
s | das Forschungsministerium | versprochen | den Raumfahrt-Haushalt auf 2,2 Milliarden Mark per annum anzuheben
s | der | versuchte | an der Vorrangstellung des Clans zu rütteln
s | auch die Labour Party | gelobt | die beizubehalten
s | Blair | beschloß | die roten Ecken der Vergangenheit gründlich abzuschleifen
s | Wohnungsexperten unterschiedlicher politischer Couleur | fordern | Die steuerlichen Subventionen dort auf den Prüfstand zu stellen
s | Staatssekretärin Christa Thoben | versucht | die positiven Effekte herauszustellen
s | Die Unternehmen | seien | längere Sperrungen durch verbesserte Leistungen im Laufe des Jahres wieder hereinzuholen
s | die Politiker | versuchen | die Währungsunion rücksichtslos durchzupauken
s | er | fordert | die Regelaltersgrenze von derzeit 65 Jahren bis 2005 auf 67 zu erhöhen und zugleich das Standardrentenniveau stufenweise auf 65 Prozent zu senken
o | allen Kindergeldberechtigten | rät | Einspruch gegen den Steuerbescheid 1996 einzulegen
s | Deutschland | sei | um Defizite bei den Dienstleistungen wie Reiseverkehr und im Kapitalverkehr auszugleichen
o | die Parteien | fordert | sich auf eine Steuerreform zu einigen damit die Exportdynamik endlich auch zu mehr Investitionen und Arbeitsplätzen in Deutschland führe
o | die Unternehmen | fordert | sich noch stärker den Märkten in Asien zuzuwenden
s | Müller | forderte | die Fahrzeugstudie Signum als Topmodell in Rüsselsheim zu bauen
s | Apple | kündigte | innerhalb von zwölf Monaten 2700 Stellen zu streichen
s | Sie | schlagen | bestehende Programme zu einem Fonds zusammenzufassen
o | den CDU-Politiker | fordert | Theo Waigel Paroli zu bieten
s | die Gruppen | seien | gemeinsam zu europaweiten Aktionen anzusetzen
s | Er | beschränken | besser Situierten zu einem Eigenheim zu verhelfen und die Problemfälle auf die Länder und vor allem auf die Kommunen abzuwälzen
s | Der Verwaltungsrat der Bundesanstalt für vereinigungsbedingte Sonderaufgaben BvS | beschlossen | die Arbeitsfähigkeit der BvS auch über 1998 hinaus zu sichern
o | die Bundesregierung | fordert | binnen eines Monats für Klarheit zu sorgen
o | Elf | eingeräumt | 33 Prozent an Mider zu übernehmen sofern sich dafür kein Investor findet
s | Wagner | erwartet | 1997 nahtlos an die erfolgreichen Vorjahre anknüpfen zu können
o | die niedergelassenen Mediziner | gewarnt | ihre Patienten unter Druck zu setzen
s | das Unternehmen | plant | das Instrument Optionen auch in Deutschland für alle Beschäftigten und ihr Management einzusetzen
s | es | erwägt | eigene Aktien zurückzukaufen wenn dies hierzulande rechtlich möglich wird
s | Sie | überlegen | zudem die Kontrollinstanz Compliance Officer einzusetzen
s | er | bemüht | den Anschein von Transparenz zu wecken
s | sie | versäumt | ihn herauszuhalten als es an den Finanzmärkten Brei regnete
s | Die freien Aktionäre | forderten | Vorstand und Aufsichtsrat die Entlastung zu verweigern
o | den Aktionären | empfahl | die Entlastung Ebelings und des mit drei Millionen Mark abgefundenen Vorstands Jürgen Pahl zu vertagen
s | Dies | interpretieren | es nicht zu übertreiben
s | Das Geldinstitut | entschieden | beide Kartenprogramme bei einem Processor zu konzentrieren
s | ein erster Entwurf für eine entsprechende US-Regelung | erlaubt | ausländischen Bewerbern eine Telefonlizenz ohne klare Begründung zu verweigern
o | die USA | ruft | den Entwurf der Regelungen zu überdenken
s | Die zuständige Stelle jenseits des Atlantik | vorgeschlagen | eine Telefonlizenz verweigern aufgrund eines nicht näher erläuterten öffentlichen Interesses zu können
s | die Staatengemeinschaft | geeinigt | die Märkte für Telekommunikation zu öffnen
s | die | versucht | Lastwagen am Verlassen des Geländes zu hindern
s | das Management | angekündigt | 140 jüngere Kräfte neu einzustellen
o | die rund 300 anwesenden Aktionäre | forderte | der Verschmelzung mit Heidelberger Druckmaschinen zuzustimmen
s | die Hamburger | drängen | um die Zeitschriften zu stärken und neue Erlösquellen zu erschließen
s | das Land als hervorragende Schuldneradresse | entschieden | mit einer eigenen großvolumigen Anleihe besonders europäische Investoren anzusprechen
s | Deutschland | versucht | mit den Staaten Zentralasiens ins Geschäft zu kommen
o | die Regierung | bat | Stolpersteine für ein Engagement deutscher Firmen aus dem Weg zu räumen
o | allen Haltern | raten | vor einer längeren Abwesenheit dem Nachbarn oder einer anderen Vertrauensperson ihren Wagenschlüssel zu überlassen
o | den Bayern | helfen | sich nach dem Zusammenschluß auf dem zweiten Platz unter den hiesigen Kreditinstituten zu behaupten
s | Die Chefs der Geldhäuser | bemühten | diesen Eindruck zu verwischen
s | Der IWF | verlangt | in dem heute beginnenden Haushaltsjahr einen Überschuß von einem Prozent des Staatsbudgets zu erreichen
s | Die Gesellschafter von Novum | verpflichteten | als Treuhänder der Zentrag zu handeln
s | die | versuche | die Gelder beiseite zu schaffen
s | Sie | hoffen | mit dem Staat nur als Minderheits-Eigentümer einen höheren Emissionspreis durchsetzen zu können
s | Sie | appelliert | dafür daß diese Aufgabe von 1998 an wieder ohne Einschnitte fortgeführt werden könne zu sorgen
s | er | betont | möglichst bald die Verhandlungen über eine neue Standortvereinbarung wieder aufnehmen zu wollen
s | die US-Regierung | versucht | den Abschluß des Vertrages zu verhindern
s | Werner Siemens | versucht | Auch die Beschäftigten einzubinden
s | Bachmann | versucht | die Bundesanstalt für Angestellte und die Politik für einen Börsengang zu gewinnen
s | Japan | zugesagt | amerikanischen Reedern den Hafenzugang zu erleichtern
o | sie | verpflichtet | unter anderem dafür daß amerikanische Transporteure in ausländischen Häfen mit unfairen Gebühren belegt weder noch durch Vorschriften behindert werden zu sorgen
o | die USA | drängen | die Strafen aufzuheben
s | Berater | versuchen | sie zur Aufnahme einer neuen Grundschuld als Sicherheit für zusätzliche Kredite zu bewegen
s | Die Kammern | raten | vor Abschluß solcher Anlagegeschäfte Experten ihrer Hausbank Verbraucherschützer oder einen Rechtsanwalt zu konsultieren
o | die Beteiligten | fordert | im Rahmen der Möglichkeiten alles dafür die Arbeitsplätze in der Hauptverwaltung zu halten zu tun
s | Analysten in den Banken | versuchen | die beiden Firmenwerte die für das Verhältnis des kommenden Tauschangebots der Aktien entscheidend sind abzuschätzen
s | auch die ARD | entschlossen | die einheitliche Digital-Plattform von Bertelsmann Telekom und Kirch zu nutzen
s | Der Vorstand | glaubt | die meisten Stellen sozialverträglich abbauen zu können
s | Die Hamburger | planen | die Geschäfte mit einer Verkaufsfläche von gut 200 000 Quadratmetern auf ihre Vetriebslinien umzustellen
s | auch die Hessen | bekommen | Die Flaute der Branche die per Ende August ein Umsatzminus von preisbereinigt sieben Prozent hinnehmen mußte zu spüren
s | die Hessen | versuchen | mit ihren Flurförderzeugen möglichst viele Aufträge zu stapeln
o | die Geschäftsführung | veranlaßt | den Schutz der Vergleichsordnung zu suchen
s | der Technologie-Konzern IPC aus Singapur | angekündigt | seine Beteiligung an dem deutschen Unternehmen um 37,5 auf 75,1 Prozent aufstocken zu wollen
s | der Ministerrat | entschieden | die Läden zu schließen
o | die Regierung | forderte | sich für den Erhalt des steuerfreien Einkaufs in Brüssel einzusetzen
s | Monti | verspricht | Lösungen für Probleme in bestimmten Regionen zu prüfen
o | Den Duty-Free-Lobbyisten | wirft | angeblich im Interesse des kleinen Mannes zu agieren in Wirklichkeit aber in die eigene Tasche zu wirtschaften
s | die MG | genötigt | auf Erfolge hinzuweisen
s | Das Baugewerbe | bekommen | die Abschaffung der degressiven Abschreibung für Wohngebäude zu spüren
s | Konzernchef Roger Enrico | erwägt | den hauseigenen Restaurant-Ausstatter Pepsico Food Systems zu verkaufen
s | Der Abgeordnete Albert Schmidt von Bündnis 90 Die Grünen | versucht | seiner Pflicht als Parlamentarier nachzukommen und die Regierung zu kontrollieren
o | das Bundesministerium für Verkehr | verpflichtet | regelmäßig seine Bedarfspläne der eingetretenen Wirtschafts- und Verkehrsentwicklung anzupassen
s | man | versuchen | eine Stiftung zu gründen um die Einrichtung auf ein dauerhaftes Kapital-Fundament zu stellen
o | den Europachef des Anlagenbau- und Elektrokonzerns Eberhard von Koerber | aufgefordert | die Staatsanwaltschaft einzuschalten
s | Der Ordnungsdienst der Verkehrsbetriebe | angewiesen | großzügig zu verfahren wenn sich in den B-Ebenen aufwärmen Obdachlose wollten
s | Delta Air Lines | geweigert | zehn übergewichtige Flugbegleiter der Fluggesellschaft einzustellen
o | ihn | forderten | künftig auf das Rauchen zu verzichten
s | Ida Mauss Ehefrau des deutschen Privatagenten Werner Mauss | appelliert | Frieden mit der kommunistischen Guerilla zu schließen
o | das Parlament | aufgefordert | die Höchststrafe in lebenslange Haft umzuwandeln
s | Der ÖAMTC | erwog | seine Pickerl-Läden zu schließen
o | die UN-Mitglieder | ermutigen | ihre Verpflichtungen gegenüber den UN zu erfüllen
o | ihm | wirft | in Reden zu dem Massenmord aufgefordert und Massaker organisiert zu haben
s | Japan | versuchen | sich freizukaufen
s | Zajedno | beschloß | seine Abgeordneten aus Serbiens Parlament abzuziehen
s | Kohnert | riet | abgedrehte Heizungen auf Frostsicherung zu stellen um ein Platzen der Rohre zu verhindern
o | der Stadtverwaltung | warf | das Streuen vereister Straßen absichtlich zu verzögern
s | Frauen | begonnen | sich etwas weniger Arbeit in der Küche und im Kinderzimmer zu machen
o | die offensichtlich betrunkenen Diplomaten aus Rußland und Weißrußland | gehindert | Auto zu fahren
s | die Regierung | geweigert | der Forderung der Organisation nach einem eigenen Staat für den Bodo-Stamm nachzukommen
o | seinen Retter | bittet | den Platz den gerade freigemacht Tartuffe hat einzunehmen
s | die Regie | hat | nämlich die eigenartigen Beziehungen die alle miteinander verbinden zu durchleuchten
s | die Sozialisten | versuchten | Abgeordnete der neuen Mehrheit zu kaufen
o | Chirac | wirft | auf agressive Weise anderen Ländern seine Standpunkte aufdrängen zu wollen
o | Den Haag | wirft | mit seiner Drogenpolitik den Drogentourismus aus Nord-Frankreich zu stimulieren
s | Erbakan | plant | im Rahmen der neuen D-8-Gruppe den Kaukasus und die neuen Republiken Zentralasiens zur türkischen Einflußsphäre zu erklären
s | die Türkei | versuche | mit dem D-8-Modell die bisher international eher einflußlose Organisation der Islamischen Konferenz OIC durch ein von ihr dominiertes Bündnis zu ersetzen
s | Der PKK-Chef Abdullah Öcalan | angeboten | die Kämpfe zu beenden und über eine friedliche Lösung der Kurdenfrage innerhalb der Grenzen der türkischen Republik zu verhandeln
o | die Bundesregierung | forderte | sich anzuschließen
s | Die SPD | glaubt | den eigentlichen Grund dafür zu kennen
s | CDU-Fraktionschef Eckhardt Rehberg | vorgeschlagen | straffällige Kinder und Jugendliche in sogenannte geschützte Einrichtungen zu sperren
o | Arafat | warnte | eine Vereinbarung die der Verantwortung der Palästinenser für das Grabmal etwa des Patriarchen Abraham den beide Seiten verehren nicht Rechnung trüge zu unterzeichnen
o | den Mainzer Gesundheitsminister Florian Gerster SPD | aufgefordert | dienstrechtliche Schritte einzuleiten
o | der Bahn | machen | zu schaffen
o | das Plenum | forderte | das Land in den Klub der europäischen Demokratien zu führen
s | Zajedno | beschloß | alle seine Abgeordneten aus dem serbischen Parlament abzuziehen
s | das Bündnis | kündigte | die Polizeiblockaden von den Belgrader Straßen räumen zu wollen
s | Sie | vorhaben | ein befreundetes Paar in einer anderen Stadt aufzusuchen
o | ihren Kunden | ermöglicht | von Deutschland aus solche Konten bei ihren Luxemburger Töchtern einzurichten
